Episode 107/500 | Score: 27.00 | Epsilon: 0.5849
Episode 108/500 | Score: 16.00 | Epsilon: 0.5820
Episode 109/500 | Score: 17.00 | Epsilon: 0.5790
Episode 110/500 | Score: 11.00 | Epsilon: 0.5762
Episode 111/500 | Score: 13.00 | Epsilon: 0.5733
Episode 112/500 | Score: 45.00 | Epsilon: 0.5704
Episode 113/500 | Score: 24.00 | Epsilon: 0.5676
Episode 114/500 | Score: 74.00 | Epsilon: 0.5647
Episode 115/500 | Score: 14.00 | Epsilon: 0.5619
Episode 116/500 | Score: 17.00 | Epsilon: 0.5591
Episode 117/500 | Score: 15.00 | Epsilon: 0.5563
Episode 118/500 | Score: 12.00 | Epsilon: 0.5535
Episode 119/500 | Score: 13.00 | Epsilon: 0.5507
Episode 120/500 | Score: 22.00 | Epsilon: 0.5480
Episode 121/500 | Score: 28.00 | Epsilon: 0.5452
Episode 122/500 | Score: 15.00 | Epsilon: 0.5425
Episode 123/500 | Score: 12.00 | Epsilon: 0.5398
Episode 124/500 | Score: 9.00 | Epsilon: 0.5371
Episode 125/500 | Score: 12.00 | Epsilon: 0.5344
Episode 126/500 | Score: 23.00 | Epsilon: 0.5318
Episode 127/500 | Score: 26.00 | Epsilon: 0.5291
Episode 128/500 | Score: 15.00 | Epsilon: 0.5264
Episode 129/500 | Score: 29.00 | Epsilon: 0.5238
Episode 130/500 | Score: 15.00 | Epsilon: 0.5212
Episode 131/500 | Score: 11.00 | Epsilon: 0.5186
Episode 132/500 | Score: 14.00 | Epsilon: 0.5160
Episode 133/500 | Score: 15.00 | Epsilon: 0.5134
Episode 134/500 | Score: 10.00 | Epsilon: 0.5108
Episode 135/500 | Score: 14.00 | Epsilon: 0.5083
Episode 136/500 | Score: 10.00 | Epsilon: 0.5058
Episode 137/500 | Score: 15.00 | Epsilon: 0.5032
Episode 138/500 | Score: 9.00 | Epsilon: 0.5007
Episode 139/500 | Score: 9.00 | Epsilon: 0.4982
Episode 140/500 | Score: 12.00 | Epsilon: 0.4957
Episode 141/500 | Score: 9.00 | Epsilon: 0.4932
Episode 142/500 | Score: 10.00 | Epsilon: 0.4908
Episode 143/500 | Score: 26.00 | Epsilon: 0.4883
Episode 144/500 | Score: 9.00 | Epsilon: 0.4859
Episode 145/500 | Score: 9.00 | Epsilon: 0.4834
Episode 146/500 | Score: 27.00 | Epsilon: 0.4810
Episode 147/500 | Score: 31.00 | Epsilon: 0.4786
Episode 148/500 | Score: 12.00 | Epsilon: 0.4762
Episode 149/500 | Score: 14.00 | Epsilon: 0.4738
Episode 150/500 | Score: 23.00 | Epsilon: 0.4715
Episode 151/500 | Score: 18.00 | Epsilon: 0.4691
Episode 152/500 | Score: 12.00 | Epsilon: 0.4668
Episode 153/500 | Score: 14.00 | Epsilon: 0.4644
Episode 154/500 | Score: 9.00 | Epsilon: 0.4621
Episode 155/500 | Score: 15.00 | Epsilon: 0.4598
Episode 156/500 | Score: 10.00 | Epsilon: 0.4575
Episode 157/500 | Score: 9.00 | Epsilon: 0.4552
Episode 158/500 | Score: 14.00 | Epsilon: 0.4529
Episode 159/500 | Score: 33.00 | Epsilon: 0.4507
Episode 160/500 | Score: 12.00 | Epsilon: 0.4484
Episode 161/500 | Score: 10.00 | Epsilon: 0.4462
Episode 162/500 | Score: 13.00 | Epsilon: 0.4440
Episode 163/500 | Score: 13.00 | Epsilon: 0.4417
Episode 164/500 | Score: 15.00 | Epsilon: 0.4395
Episode 165/500 | Score: 13.00 | Epsilon: 0.4373
Episode 166/500 | Score: 25.00 | Epsilon: 0.4351
Episode 167/500 | Score: 10.00 | Epsilon: 0.4330
Episode 168/500 | Score: 8.00 | Epsilon: 0.4308
Episode 169/500 | Score: 14.00 | Epsilon: 0.4286
Episode 170/500 | Score: 33.00 | Epsilon: 0.4265
Episode 171/500 | Score: 8.00 | Epsilon: 0.4244
Episode 172/500 | Score: 9.00 | Epsilon: 0.4223
Episode 173/500 | Score: 9.00 | Epsilon: 0.4201
Episode 174/500 | Score: 10.00 | Epsilon: 0.4180
Episode 175/500 | Score: 16.00 | Epsilon: 0.4159
Episode 176/500 | Score: 15.00 | Epsilon: 0.4139
Episode 177/500 | Score: 13.00 | Epsilon: 0.4118
Episode 178/500 | Score: 8.00 | Epsilon: 0.4097
Episode 179/500 | Score: 25.00 | Epsilon: 0.4077
Episode 180/500 | Score: 22.00 | Epsilon: 0.4057
Episode 181/500 | Score: 20.00 | Epsilon: 0.4036
Episode 182/500 | Score: 10.00 | Epsilon: 0.4016
Episode 183/500 | Score: 11.00 | Epsilon: 0.3996
Episode 184/500 | Score: 12.00 | Epsilon: 0.3976
Episode 185/500 | Score: 9.00 | Epsilon: 0.3956
Episode 186/500 | Score: 9.00 | Epsilon: 0.3936
Episode 187/500 | Score: 13.00 | Epsilon: 0.3917
Episode 188/500 | Score: 16.00 | Epsilon: 0.3897
Episode 189/500 | Score: 14.00 | Epsilon: 0.3878
Episode 190/500 | Score: 13.00 | Epsilon: 0.3858
Episode 191/500 | Score: 12.00 | Epsilon: 0.3839
Episode 192/500 | Score: 11.00 | Epsilon: 0.3820
Episode 193/500 | Score: 14.00 | Epsilon: 0.3801
Episode 194/500 | Score: 15.00 | Epsilon: 0.3782
Episode 195/500 | Score: 15.00 | Epsilon: 0.3763
Episode 196/500 | Score: 12.00 | Epsilon: 0.3744
Episode 197/500 | Score: 9.00 | Epsilon: 0.3725
Episode 198/500 | Score: 12.00 | Epsilon: 0.3707
Episode 199/500 | Score: 10.00 | Epsilon: 0.3688
Episode 200/500 | Score: 15.00 | Epsilon: 0.3670
Episode 201/500 | Score: 27.00 | Epsilon: 0.3651
Episode 202/500 | Score: 12.00 | Epsilon: 0.3633
Episode 203/500 | Score: 17.00 | Epsilon: 0.3615
Episode 204/500 | Score: 15.00 | Epsilon: 0.3597
Episode 205/500 | Score: 10.00 | Epsilon: 0.3579
Episode 206/500 | Score: 12.00 | Epsilon: 0.3561
Episode 207/500 | Score: 11.00 | Epsilon: 0.3543
Episode 208/500 | Score: 21.00 | Epsilon: 0.3525
Episode 209/500 | Score: 8.00 | Epsilon: 0.3508
Episode 210/500 | Score: 24.00 | Epsilon: 0.3490
Episode 211/500 | Score: 16.00 | Epsilon: 0.3473
Episode 212/500 | Score: 18.00 | Epsilon: 0.3455
Episode 213/500 | Score: 9.00 | Epsilon: 0.3438
Episode 214/500 | Score: 14.00 | Epsilon: 0.3421
Episode 215/500 | Score: 13.00 | Epsilon: 0.3404
Episode 216/500 | Score: 11.00 | Epsilon: 0.3387
Episode 217/500 | Score: 9.00 | Epsilon: 0.3370
Episode 218/500 | Score: 9.00 | Epsilon: 0.3353
Episode 219/500 | Score: 14.00 | Epsilon: 0.3336
Episode 220/500 | Score: 12.00 | Epsilon: 0.3320
Episode 221/500 | Score: 13.00 | Epsilon: 0.3303
Episode 222/500 | Score: 11.00 | Epsilon: 0.3286
Episode 223/500 | Score: 11.00 | Epsilon: 0.3270
Episode 224/500 | Score: 17.00 | Epsilon: 0.3254
Episode 225/500 | Score: 14.00 | Epsilon: 0.3237
Episode 226/500 | Score: 9.00 | Epsilon: 0.3221
Episode 227/500 | Score: 12.00 | Epsilon: 0.3205
Episode 228/500 | Score: 11.00 | Epsilon: 0.3189
Episode 229/500 | Score: 11.00 | Epsilon: 0.3173
Episode 230/500 | Score: 14.00 | Epsilon: 0.3157
Episode 231/500 | Score: 15.00 | Epsilon: 0.3141
Episode 232/500 | Score: 10.00 | Epsilon: 0.3126
Episode 233/500 | Score: 10.00 | Epsilon: 0.3110
Episode 234/500 | Score: 11.00 | Epsilon: 0.3095
Episode 235/500 | Score: 13.00 | Epsilon: 0.3079
Episode 236/500 | Score: 10.00 | Epsilon: 0.3064
Episode 237/500 | Score: 9.00 | Epsilon: 0.3048
Episode 238/500 | Score: 14.00 | Epsilon: 0.3033
Episode 239/500 | Score: 11.00 | Epsilon: 0.3018
Episode 240/500 | Score: 17.00 | Epsilon: 0.3003
Episode 241/500 | Score: 13.00 | Epsilon: 0.2988
Episode 242/500 | Score: 13.00 | Epsilon: 0.2973
Episode 243/500 | Score: 13.00 | Epsilon: 0.2958
Episode 244/500 | Score: 13.00 | Epsilon: 0.2943
Episode 245/500 | Score: 17.00 | Epsilon: 0.2929
Episode 246/500 | Score: 25.00 | Epsilon: 0.2914
Episode 247/500 | Score: 15.00 | Epsilon: 0.2899
Episode 248/500 | Score: 13.00 | Epsilon: 0.2885
Episode 249/500 | Score: 10.00 | Epsilon: 0.2870
Episode 250/500 | Score: 9.00 | Epsilon: 0.2856
Episode 251/500 | Score: 10.00 | Epsilon: 0.2842
Episode 252/500 | Score: 13.00 | Epsilon: 0.2828
Episode 253/500 | Score: 11.00 | Epsilon: 0.2813
Episode 254/500 | Score: 10.00 | Epsilon: 0.2799
Episode 255/500 | Score: 12.00 | Epsilon: 0.2785
Episode 256/500 | Score: 11.00 | Epsilon: 0.2771
Episode 257/500 | Score: 11.00 | Epsilon: 0.2758
Episode 258/500 | Score: 31.00 | Epsilon: 0.2744
Episode 259/500 | Score: 9.00 | Epsilon: 0.2730
Episode 260/500 | Score: 10.00 | Epsilon: 0.2716
Episode 261/500 | Score: 17.00 | Epsilon: 0.2703
Episode 262/500 | Score: 16.00 | Epsilon: 0.2689
Episode 263/500 | Score: 14.00 | Epsilon: 0.2676
Episode 264/500 | Score: 13.00 | Epsilon: 0.2663
Episode 265/500 | Score: 15.00 | Epsilon: 0.2649
Episode 266/500 | Score: 23.00 | Epsilon: 0.2636
Episode 267/500 | Score: 21.00 | Epsilon: 0.2623
Episode 268/500 | Score: 14.00 | Epsilon: 0.2610
Episode 269/500 | Score: 31.00 | Epsilon: 0.2597
Episode 270/500 | Score: 18.00 | Epsilon: 0.2584
Episode 271/500 | Score: 14.00 | Epsilon: 0.2571
Episode 272/500 | Score: 11.00 | Epsilon: 0.2558
Episode 273/500 | Score: 34.00 | Epsilon: 0.2545
Episode 274/500 | Score: 9.00 | Epsilon: 0.2532
Episode 275/500 | Score: 13.00 | Epsilon: 0.2520
Episode 276/500 | Score: 18.00 | Epsilon: 0.2507
Episode 277/500 | Score: 22.00 | Epsilon: 0.2495
Episode 278/500 | Score: 13.00 | Epsilon: 0.2482
Episode 279/500 | Score: 9.00 | Epsilon: 0.2470
Episode 280/500 | Score: 10.00 | Epsilon: 0.2457
Episode 281/500 | Score: 16.00 | Epsilon: 0.2445
Episode 282/500 | Score: 20.00 | Epsilon: 0.2433
Episode 283/500 | Score: 11.00 | Epsilon: 0.2421
Episode 284/500 | Score: 13.00 | Epsilon: 0.2409
Episode 285/500 | Score: 37.00 | Epsilon: 0.2397
Episode 286/500 | Score: 10.00 | Epsilon: 0.2385
Episode 287/500 | Score: 13.00 | Epsilon: 0.2373
Episode 288/500 | Score: 14.00 | Epsilon: 0.2361
Episode 289/500 | Score: 24.00 | Epsilon: 0.2349
Episode 290/500 | Score: 12.00 | Epsilon: 0.2337
Episode 291/500 | Score: 9.00 | Epsilon: 0.2326
Episode 292/500 | Score: 11.00 | Epsilon: 0.2314
Episode 293/500 | Score: 9.00 | Epsilon: 0.2302
Episode 294/500 | Score: 10.00 | Epsilon: 0.2291
Episode 295/500 | Score: 13.00 | Epsilon: 0.2279
Episode 296/500 | Score: 10.00 | Epsilon: 0.2268
Episode 297/500 | Score: 9.00 | Epsilon: 0.2257
Episode 298/500 | Score: 10.00 | Epsilon: 0.2245
Episode 299/500 | Score: 13.00 | Epsilon: 0.2234
Episode 300/500 | Score: 8.00 | Epsilon: 0.2223
Episode 301/500 | Score: 12.00 | Epsilon: 0.2212
Episode 302/500 | Score: 15.00 | Epsilon: 0.2201
Episode 303/500 | Score: 22.00 | Epsilon: 0.2190
Episode 304/500 | Score: 12.00 | Epsilon: 0.2179
Episode 305/500 | Score: 9.00 | Epsilon: 0.2168
Episode 306/500 | Score: 11.00 | Epsilon: 0.2157
Episode 307/500 | Score: 12.00 | Epsilon: 0.2146
Episode 308/500 | Score: 11.00 | Epsilon: 0.2136
Episode 309/500 | Score: 39.00 | Epsilon: 0.2125
Episode 310/500 | Score: 11.00 | Epsilon: 0.2114
Episode 311/500 | Score: 12.00 | Epsilon: 0.2104
Episode 312/500 | Score: 18.00 | Epsilon: 0.2093
Episode 313/500 | Score: 12.00 | Epsilon: 0.2083
Episode 314/500 | Score: 12.00 | Epsilon: 0.2072
Episode 315/500 | Score: 10.00 | Epsilon: 0.2062
Episode 316/500 | Score: 17.00 | Epsilon: 0.2052
Episode 317/500 | Score: 14.00 | Epsilon: 0.2041
Episode 318/500 | Score: 15.00 | Epsilon: 0.2031
Episode 319/500 | Score: 14.00 | Epsilon: 0.2021
Episode 320/500 | Score: 15.00 | Epsilon: 0.2011
Episode 321/500 | Score: 15.00 | Epsilon: 0.2001
Episode 322/500 | Score: 9.00 | Epsilon: 0.1991
Episode 323/500 | Score: 15.00 | Epsilon: 0.1981
Episode 324/500 | Score: 13.00 | Epsilon: 0.1971
Episode 325/500 | Score: 17.00 | Epsilon: 0.1961
Episode 326/500 | Score: 15.00 | Epsilon: 0.1951
Episode 327/500 | Score: 10.00 | Epsilon: 0.1942
Episode 328/500 | Score: 12.00 | Epsilon: 0.1932
Episode 329/500 | Score: 20.00 | Epsilon: 0.1922
Episode 330/500 | Score: 28.00 | Epsilon: 0.1913
Episode 331/500 | Score: 12.00 | Epsilon: 0.1903
Episode 332/500 | Score: 11.00 | Epsilon: 0.1893
Episode 333/500 | Score: 8.00 | Epsilon: 0.1884
Episode 334/500 | Score: 11.00 | Epsilon: 0.1875
Episode 335/500 | Score: 10.00 | Epsilon: 0.1865
Episode 336/500 | Score: 52.00 | Epsilon: 0.1856
Episode 337/500 | Score: 9.00 | Epsilon: 0.1847
Episode 338/500 | Score: 11.00 | Epsilon: 0.1837
Episode 339/500 | Score: 9.00 | Epsilon: 0.1828
Episode 340/500 | Score: 30.00 | Epsilon: 0.1819
Episode 341/500 | Score: 16.00 | Epsilon: 0.1810
Episode 342/500 | Score: 13.00 | Epsilon: 0.1801
Episode 343/500 | Score: 16.00 | Epsilon: 0.1792
Episode 344/500 | Score: 29.00 | Epsilon: 0.1783
Episode 345/500 | Score: 11.00 | Epsilon: 0.1774
Episode 346/500 | Score: 11.00 | Epsilon: 0.1765
Episode 347/500 | Score: 11.00 | Epsilon: 0.1756
Episode 348/500 | Score: 9.00 | Epsilon: 0.1748
Episode 349/500 | Score: 16.00 | Epsilon: 0.1739
Episode 350/500 | Score: 10.00 | Epsilon: 0.1730
Episode 351/500 | Score: 13.00 | Epsilon: 0.1721
Episode 352/500 | Score: 10.00 | Epsilon: 0.1713
Episode 353/500 | Score: 12.00 | Epsilon: 0.1704
Episode 354/500 | Score: 13.00 | Epsilon: 0.1696
Episode 355/500 | Score: 19.00 | Epsilon: 0.1687
Episode 356/500 | Score: 23.00 | Epsilon: 0.1679
Episode 357/500 | Score: 10.00 | Epsilon: 0.1670
Episode 358/500 | Score: 9.00 | Epsilon: 0.1662
Episode 359/500 | Score: 11.00 | Epsilon: 0.1654
Episode 360/500 | Score: 37.00 | Epsilon: 0.1646
Episode 361/500 | Score: 16.00 | Epsilon: 0.1637
Episode 362/500 | Score: 23.00 | Epsilon: 0.1629
Episode 363/500 | Score: 20.00 | Epsilon: 0.1621
Episode 364/500 | Score: 17.00 | Epsilon: 0.1613
Episode 365/500 | Score: 10.00 | Epsilon: 0.1605
Episode 366/500 | Score: 11.00 | Epsilon: 0.1597
Episode 367/500 | Score: 12.00 | Epsilon: 0.1589
Episode 368/500 | Score: 9.00 | Epsilon: 0.1581
Episode 369/500 | Score: 9.00 | Epsilon: 0.1573
Episode 370/500 | Score: 9.00 | Epsilon: 0.1565
Episode 371/500 | Score: 12.00 | Epsilon: 0.1557
Episode 372/500 | Score: 15.00 | Epsilon: 0.1549
Episode 373/500 | Score: 17.00 | Epsilon: 0.1542
Episode 374/500 | Score: 18.00 | Epsilon: 0.1534
Episode 375/500 | Score: 16.00 | Epsilon: 0.1526
Episode 376/500 | Score: 14.00 | Epsilon: 0.1519
Episode 377/500 | Score: 11.00 | Epsilon: 0.1511
Episode 378/500 | Score: 12.00 | Epsilon: 0.1504
Episode 379/500 | Score: 14.00 | Epsilon: 0.1496
Episode 380/500 | Score: 14.00 | Epsilon: 0.1489
Episode 381/500 | Score: 27.00 | Epsilon: 0.1481
Episode 382/500 | Score: 16.00 | Epsilon: 0.1474
Episode 383/500 | Score: 17.00 | Epsilon: 0.1466
Episode 384/500 | Score: 14.00 | Epsilon: 0.1459
Episode 385/500 | Score: 16.00 | Epsilon: 0.1452
Episode 386/500 | Score: 37.00 | Epsilon: 0.1444
Episode 387/500 | Score: 13.00 | Epsilon: 0.1437
Episode 388/500 | Score: 13.00 | Epsilon: 0.1430
Episode 389/500 | Score: 14.00 | Epsilon: 0.1423
Episode 390/500 | Score: 19.00 | Epsilon: 0.1416
Episode 391/500 | Score: 19.00 | Epsilon: 0.1409
Episode 392/500 | Score: 18.00 | Epsilon: 0.1402
Episode 393/500 | Score: 16.00 | Epsilon: 0.1395
Episode 394/500 | Score: 14.00 | Epsilon: 0.1388
Episode 395/500 | Score: 15.00 | Epsilon: 0.1381
Episode 396/500 | Score: 16.00 | Epsilon: 0.1374
Episode 397/500 | Score: 13.00 | Epsilon: 0.1367
Episode 398/500 | Score: 17.00 | Epsilon: 0.1360
Episode 399/500 | Score: 13.00 | Epsilon: 0.1353
Episode 400/500 | Score: 9.00 | Epsilon: 0.1347
Episode 401/500 | Score: 9.00 | Epsilon: 0.1340
Episode 402/500 | Score: 15.00 | Epsilon: 0.1333
Episode 403/500 | Score: 24.00 | Epsilon: 0.1326
Episode 404/500 | Score: 19.00 | Epsilon: 0.1320
Episode 405/500 | Score: 10.00 | Epsilon: 0.1313
Episode 406/500 | Score: 10.00 | Epsilon: 0.1307
Episode 407/500 | Score: 15.00 | Epsilon: 0.1300
Episode 408/500 | Score: 14.00 | Epsilon: 0.1294
Episode 409/500 | Score: 10.00 | Epsilon: 0.1287
Episode 410/500 | Score: 12.00 | Epsilon: 0.1281
Episode 411/500 | Score: 45.00 | Epsilon: 0.1274
Episode 412/500 | Score: 11.00 | Epsilon: 0.1268
Episode 413/500 | Score: 9.00 | Epsilon: 0.1262
Episode 414/500 | Score: 12.00 | Epsilon: 0.1255
Episode 415/500 | Score: 14.00 | Epsilon: 0.1249
Episode 416/500 | Score: 12.00 | Epsilon: 0.1243
Episode 417/500 | Score: 10.00 | Epsilon: 0.1237
Episode 418/500 | Score: 12.00 | Epsilon: 0.1230
Episode 419/500 | Score: 16.00 | Epsilon: 0.1224
Episode 420/500 | Score: 10.00 | Epsilon: 0.1218
Episode 421/500 | Score: 10.00 | Epsilon: 0.1212
Episode 422/500 | Score: 56.00 | Epsilon: 0.1206
Episode 423/500 | Score: 10.00 | Epsilon: 0.1200
Episode 424/500 | Score: 11.00 | Epsilon: 0.1194
Episode 425/500 | Score: 13.00 | Epsilon: 0.1188
Episode 426/500 | Score: 34.00 | Epsilon: 0.1182
Episode 427/500 | Score: 17.00 | Epsilon: 0.1176
Episode 428/500 | Score: 9.00 | Epsilon: 0.1170
Episode 429/500 | Score: 13.00 | Epsilon: 0.1164
Episode 430/500 | Score: 17.00 | Epsilon: 0.1159
Episode 431/500 | Score: 12.00 | Epsilon: 0.1153
Episode 432/500 | Score: 13.00 | Epsilon: 0.1147
Episode 433/500 | Score: 10.00 | Epsilon: 0.1141
Episode 434/500 | Score: 15.00 | Epsilon: 0.1136
Episode 435/500 | Score: 25.00 | Epsilon: 0.1130
Episode 436/500 | Score: 29.00 | Epsilon: 0.1124
Episode 437/500 | Score: 10.00 | Epsilon: 0.1119
Episode 438/500 | Score: 10.00 | Epsilon: 0.1113
Episode 439/500 | Score: 22.00 | Epsilon: 0.1107
Episode 440/500 | Score: 27.00 | Epsilon: 0.1102
Episode 441/500 | Score: 15.00 | Epsilon: 0.1096
Episode 442/500 | Score: 11.00 | Epsilon: 0.1091
Episode 443/500 | Score: 23.00 | Epsilon: 0.1085
Episode 444/500 | Score: 20.00 | Epsilon: 0.1080
Episode 445/500 | Score: 14.00 | Epsilon: 0.1075
Episode 446/500 | Score: 10.00 | Epsilon: 0.1069
Episode 447/500 | Score: 12.00 | Epsilon: 0.1064
Episode 448/500 | Score: 14.00 | Epsilon: 0.1059
Episode 449/500 | Score: 43.00 | Epsilon: 0.1053
Episode 450/500 | Score: 8.00 | Epsilon: 0.1048
Episode 451/500 | Score: 12.00 | Epsilon: 0.1043
Episode 452/500 | Score: 15.00 | Epsilon: 0.1038
Episode 453/500 | Score: 17.00 | Epsilon: 0.1032
Episode 454/500 | Score: 40.00 | Epsilon: 0.1027
Episode 455/500 | Score: 13.00 | Epsilon: 0.1022
Episode 456/500 | Score: 12.00 | Epsilon: 0.1017
Episode 457/500 | Score: 15.00 | Epsilon: 0.1012
Episode 458/500 | Score: 18.00 | Epsilon: 0.1007
Episode 459/500 | Score: 16.00 | Epsilon: 0.1002
Episode 460/500 | Score: 10.00 | Epsilon: 0.0997
Episode 461/500 | Score: 10.00 | Epsilon: 0.0992
Episode 462/500 | Score: 86.00 | Epsilon: 0.0987
Episode 463/500 | Score: 14.00 | Epsilon: 0.0982
Episode 464/500 | Score: 23.00 | Epsilon: 0.0977
Episode 465/500 | Score: 18.00 | Epsilon: 0.0972
Episode 466/500 | Score: 11.00 | Epsilon: 0.0967
